"id","nom_media","semaine","interet","geo","collecte_le"
47,"RTB Burkina","2026-04-12",0,"BF","2026-05-30 09:59:25.685268"
48,"RTB Burkina","2026-04-19",0,"BF","2026-05-30 09:59:25.685268"
49,"RTB Burkina","2026-04-26",0,"BF","2026-05-30 09:59:25.685268"
50,"RTB Burkina","2026-05-03",0,"BF","2026-05-30 09:59:25.685268"
51,"RTB Burkina","2026-05-10",0,"BF","2026-05-30 09:59:25.685268"
52,"RTB Burkina","2026-05-17",15,"BF","2026-05-30 09:59:25.685268"
53,"RTB Burkina","2026-05-24",12,"BF","2026-05-30 09:59:25.685268"
107,"Omega BF","2025-05-25",0,"BF","2026-05-30 09:59:25.685268"
108,"Omega BF","2025-06-01",0,"BF","2026-05-30 09:59:25.685268"
109,"Omega BF","2025-06-08",0,"BF","2026-05-30 09:59:25.685268"
110,"Omega BF","2025-06-15",0,"BF","2026-05-30 09:59:25.685268"
111,"Omega BF","2025-06-22",0,"BF","2026-05-30 09:59:25.685268"
112,"Omega BF","2025-06-29",0,"BF","2026-05-30 09:59:25.685268"
113,"Omega BF","2025-07-06",0,"BF","2026-05-30 09:59:25.685268"
114,"Omega BF","2025-07-13",0,"BF","2026-05-30 09:59:25.685268"
115,"Omega BF","2025-07-20",0,"BF","2026-05-30 09:59:25.685268"
116,"Omega BF","2025-07-27",0,"BF","2026-05-30 09:59:25.685268"
117,"Omega BF","2025-08-03",0,"BF","2026-05-30 09:59:25.685268"
118,"Omega BF","2025-08-10",0,"BF","2026-05-30 09:59:25.685268"
46,"RTB Burkina","2026-04-05",0,"BF","2026-05-30 09:59:25.685268"
