"id","nom_media","video_id","nom_page","url_page","date_publication","auteur_page","nb_vues","nb_likes","nb_commentaires","duree_ecoute","collecte_le"
833,"Sidwaya","Jljxa59JWbA","30 mai 2026","https://youtube.com/watch?v=Jljxa59JWbA","2026-05-30 07:55:16","AIB Burkina","4",1,0,327,"2026-05-30 09:59:48.653505"
630,"RTB Burkina","fHzg6OExSzk","RTB -Finale Coupe du Faso Dames : Etincelles du Faso vs USFA (1ere mi-temps)","https://youtube.com/watch?v=fHzg6OExSzk","2026-05-30 04:32:47","RTB - Radiodiffusion Télévision du Burkina","1435",20,0,3597,"2026-05-30 09:59:31.353413"
933,"Lefaso.net","3zBWIgAp0Bs","Point de vue des citoyens : Que pensez-vous des paris en ligne chez les jeunes ?","https://youtube.com/watch?v=3zBWIgAp0Bs","2026-05-30 00:53:11","LefasoTV","0",0,0,0,"2026-05-30 09:59:55.335543"
934,"Lefaso.net","MfcHSq-WMzk","Loukman Koanda, le parcours d’une étoile montante de l’humour burkinabè","https://youtube.com/watch?v=MfcHSq-WMzk","2026-05-29 22:03:19","LefasoTV","0",0,0,0,"2026-05-30 09:59:55.335543"
218,"RTB Burkina","r3dIgvrQcDw","RTB - JT de 20H du 29 mai 2026","https://youtube.com/watch?v=r3dIgvrQcDw","2026-05-29 21:17:29","RTB - Radiodiffusion Télévision du Burkina","14514",284,4,3869,"2026-05-30 09:59:31.353413"
219,"RTB Burkina","AHuG5F_cpaw","AES Actualités : l’ambiance du partage de la viande de mouton à Niamey au lendemain de la fête","https://youtube.com/watch?v=AHuG5F_cpaw","2026-05-29 21:09:45","RTB - Radiodiffusion Télévision du Burkina","688",19,0,143,"2026-05-30 09:59:31.353413"
220,"RTB Burkina","S74bS5spt_Q","AES Actualités : Célébration au Mali de la Journée de l’Afrique","https://youtube.com/watch?v=S74bS5spt_Q","2026-05-29 21:04:00","RTB - Radiodiffusion Télévision du Burkina","607",31,0,144,"2026-05-30 09:59:31.353413"
1036,"RTB Burkina","5pSpcqdDryQ","RTB - Actu Sports du 29 mai 2026","https://youtube.com/watch?v=5pSpcqdDryQ","2026-05-29 21:03:45","RTB - Radiodiffusion Télévision du Burkina","632",11,0,2303,"2026-05-30 09:59:31.353413"
221,"RTB Burkina","qK_qaT9pnyE","Conférence à Dapélogo sur les idéaux de la RPP, la cohésion sociale et le vivre-ensemble","https://youtube.com/watch?v=qK_qaT9pnyE","2026-05-29 20:51:59","RTB - Radiodiffusion Télévision du Burkina","139",5,0,129,"2026-05-30 09:59:31.353413"
530,"Lefaso.net","mwRpfCexIzA","Burkina/Santé : L’unité de sevrage tabagique porte désormais le nom du Pr Georges Ouédraogo","https://youtube.com/watch?v=mwRpfCexIzA","2026-05-29 20:50:57","LefasoTV","12",0,0,240,"2026-05-30 09:59:55.335543"
531,"Lefaso.net","VnYrnoShUvc","Culture : La 6ᵉ édition du FESCUSAN ouvre ses portes au palais de la culture Jean-Pierre Guingané","https://youtube.com/watch?v=VnYrnoShUvc","2026-05-29 20:41:58","LefasoTV","61",0,0,176,"2026-05-30 09:59:55.335543"
222,"RTB Burkina","77ods2X8-IY","Le Prytanée militaire du Kadiogo célèbre l’excellence scolaire : 80 élèves ont reçu des distinctions","https://youtube.com/watch?v=77ods2X8-IY","2026-05-29 20:35:37","RTB - Radiodiffusion Télévision du Burkina","882",37,0,179,"2026-05-30 09:59:31.353413"
223,"RTB Burkina","_bEm9Da4-K0","Les grandes décisions du conseil des ministres du 29 mai 2026","https://youtube.com/watch?v=_bEm9Da4-K0","2026-05-29 20:23:46","RTB - Radiodiffusion Télévision du Burkina","1073",26,0,278,"2026-05-30 09:59:31.353413"
224,"RTB Burkina","DyDcU5gsqiE","RTB - JT de 19H du 29 mai 2026","https://youtube.com/watch?v=DyDcU5gsqiE","2026-05-29 19:30:09","RTB - Radiodiffusion Télévision du Burkina","1279",16,1,1248,"2026-05-30 09:59:31.353413"
315,"Burkina 24","UUNcr7R11ME","Burkina Faso : Trois Serviteurs du Peuple révoqués de leurs fonctions","https://youtube.com/watch?v=UUNcr7R11ME","2026-05-29 19:26:56","Burkina24 TV","424",9,1,104,"2026-05-30 09:59:34.771359"
430,"Sidwaya","5j8Ag0xkStQ","29 mai 2026","https://youtube.com/watch?v=5j8Ag0xkStQ","2026-05-29 19:09:53","AIB Burkina","26",2,0,310,"2026-05-30 09:59:48.653505"
316,"Burkina 24","A229JJWrVOE","Ouagadougou : PFO Africa Burkina Faso célèbre l’excellence scolaire au lycée municipal de Bendogo","https://youtube.com/watch?v=A229JJWrVOE","2026-05-29 19:07:23","Burkina24 TV","108",8,0,284,"2026-05-30 09:59:34.771359"
431,"Sidwaya","c76vRQZ5YNI","29 mai 2026","https://youtube.com/watch?v=c76vRQZ5YNI","2026-05-29 19:06:06","AIB Burkina","212",4,0,128,"2026-05-30 09:59:48.653505"
225,"RTB Burkina","QKdDsCgbemY","RTB -Finale Coupe du Faso Dames : Etincelles du Faso vs USFA (2e  mi-temps)","https://youtube.com/watch?v=QKdDsCgbemY","2026-05-29 18:56:50","RTB - Radiodiffusion Télévision du Burkina","2095",33,0,6205,"2026-05-30 09:59:31.353413"
317,"Burkina 24","emF-CSXUp4o","Redevabilité à Saponé : le PDS fait le point des actions menées","https://youtube.com/watch?v=emF-CSXUp4o","2026-05-29 18:50:29","Burkina24 TV","103",6,0,157,"2026-05-30 09:59:34.771359"
